fold_id,protein,klass,dna_id,is_on_target,oracle,min_pae,n_protein_tokens,n_dna_tokens,iptm,ptm,plddt
Zif268__zif268_site,Zif268,specific,zif268_site,True,rf3,1.05,90,48,0.8388,0.8954,0.8587
LambdaRep__zif268_site,LambdaRep,specific,zif268_site,False,rf3,10.97,184,48,0.7482,0.832,0.8349
LambdaRep__lambda_OL1,LambdaRep,specific,lambda_OL1,True,rf3,2.94,184,48,0.8622,0.9015,0.8415
LambdaRep__ebox,LambdaRep,specific,ebox,False,rf3,6.7,184,48,0.7997,0.864,0.8375
LambdaRep__hd_taatta,LambdaRep,specific,hd_taatta,False,rf3,9.56,184,48,0.7476,0.8331,0.8372
LambdaRep__tata,LambdaRep,specific,tata,False,rf3,6.37,184,48,0.7851,0.8567,0.8409
LambdaRep__prnp,LambdaRep,specific,prnp,False,rf3,7.78,184,48,0.7922,0.8589,0.8365
LambdaRep__scramble,LambdaRep,specific,scramble,False,rf3,8.73,184,48,0.7687,0.8448,0.8355
LambdaRep__polygc,LambdaRep,specific,polygc,False,rf3,10.45,184,48,0.7518,0.8343,0.8333
Engrailed__zif268_site,Engrailed,specific,zif268_site,False,rf3,12.37,60,48,0.3988,0.6447,0.85
Engrailed__lambda_OL1,Engrailed,specific,lambda_OL1,False,rf3,4.71,60,48,0.5438,0.7283,0.8518
Engrailed__ebox,Engrailed,specific,ebox,False,rf3,9.18,60,48,0.4751,0.6847,0.8469
Engrailed__hd_taatta,Engrailed,specific,hd_taatta,True,rf3,3.99,60,48,0.6024,0.7621,0.8499
Engrailed__tata,Engrailed,specific,tata,False,rf3,5.11,60,48,0.5444,0.7235,0.8535
Engrailed__prnp,Engrailed,specific,prnp,False,rf3,7.12,60,48,0.4748,0.6938,0.8485
Engrailed__scramble,Engrailed,specific,scramble,False,rf3,6.1,60,48,0.5332,0.7045,0.8493
Engrailed__polygc,Engrailed,specific,polygc,False,rf3,12.53,60,48,0.3826,0.632,0.845
