fold_id,protein,klass,dna_id,is_on_target,oracle,min_pae,n_protein_tokens,n_dna_tokens,iptm,ptm,plddt
Zif268__zif268_site,Zif268,specific,zif268_site,True,openfold3,9.1297,90,48,0.36726075410842896,0.4484095871448517,71.54053497314453
Zif268__lambda_OL1,Zif268,specific,lambda_OL1,False,openfold3,6.6594,90,48,0.3308,0.5738,69.7747
Zif268__ebox,Zif268,specific,ebox,False,openfold3,11.3649,90,48,0.2681,0.4552,68.4513
Zif268__hd_taatta,Zif268,specific,hd_taatta,False,openfold3,11.4764,90,48,0.2481,0.373,66.8515
Zif268__tata,Zif268,specific,tata,False,openfold3,10.6967,90,48,0.2761,0.3752,68.566
Zif268__prnp,Zif268,specific,prnp,False,openfold3,8.8811,90,48,0.4089,0.4754,72.0423
Zif268__scramble,Zif268,specific,scramble,False,openfold3,12.248,90,48,0.267,0.4171,69.2022
Zif268__polygc,Zif268,specific,polygc,False,openfold3,15.2556,90,48,0.2354,0.3105,65.8773
LambdaRep__zif268_site,LambdaRep,specific,zif268_site,False,openfold3,12.2853,184,48,0.208,0.2815,57.7279
LambdaRep__lambda_OL1,LambdaRep,specific,lambda_OL1,True,openfold3,12.3344,184,48,0.2235,0.2676,57.2345
LambdaRep__ebox,LambdaRep,specific,ebox,False,openfold3,14.2142,184,48,0.1808,0.2809,55.5078
LambdaRep__hd_taatta,LambdaRep,specific,hd_taatta,False,openfold3,13.6339,184,48,0.2274,0.3366,58.311
LambdaRep__tata,LambdaRep,specific,tata,False,openfold3,13.5186,184,48,0.241,0.3485,58.0764
LambdaRep__prnp,LambdaRep,specific,prnp,False,openfold3,14.8604,184,48,0.2072,0.3643,62.3953
LambdaRep__scramble,LambdaRep,specific,scramble,False,openfold3,13.755,184,48,0.2696,0.3844,59.4788
LambdaRep__polygc,LambdaRep,specific,polygc,False,openfold3,14.7895,184,48,0.2312,0.3568,62.9082
MAX_bHLH__zif268_site,MAX_bHLH,specific,zif268_site,False,openfold3,5.4118,172,48,0.7318,0.7747,83.473
MAX_bHLH__lambda_OL1,MAX_bHLH,specific,lambda_OL1,False,openfold3,3.2639,172,48,0.7762,0.7981,87.7489
MAX_bHLH__ebox,MAX_bHLH,specific,ebox,True,openfold3,3.2982,172,48,0.7811,0.8022,88.2393
MAX_bHLH__hd_taatta,MAX_bHLH,specific,hd_taatta,False,openfold3,5.5983,172,48,0.7524,0.7866,84.8055
MAX_bHLH__tata,MAX_bHLH,specific,tata,False,openfold3,5.7373,172,48,0.7389,0.7774,83.5769
MAX_bHLH__prnp,MAX_bHLH,specific,prnp,False,openfold3,5.6626,172,48,0.731,0.7735,83.5101
MAX_bHLH__scramble,MAX_bHLH,specific,scramble,False,openfold3,7.7005,172,48,0.6951,0.7467,79.9374
MAX_bHLH__polygc,MAX_bHLH,specific,polygc,False,openfold3,7.1067,172,48,0.7256,0.7694,82.8585
Engrailed__zif268_site,Engrailed,specific,zif268_site,False,openfold3,5.0696,60,48,0.4009,0.4771,74.2618
Engrailed__lambda_OL1,Engrailed,specific,lambda_OL1,False,openfold3,4.9925,60,48,0.3852,0.456,73.6779
Engrailed__ebox,Engrailed,specific,ebox,False,openfold3,9.1765,60,48,0.2858,0.3558,69.4794
Engrailed__hd_taatta,Engrailed,specific,hd_taatta,True,openfold3,7.2388,60,48,0.2961,0.3993,70.0696
Engrailed__tata,Engrailed,specific,tata,False,openfold3,5.7174,60,48,0.4248,0.5522,77.4532
Engrailed__prnp,Engrailed,specific,prnp,False,openfold3,10.7763,60,48,0.2439,0.317,67.2918
Engrailed__scramble,Engrailed,specific,scramble,False,openfold3,7.8981,60,48,0.3353,0.4178,71.4741
Engrailed__polygc,Engrailed,specific,polygc,False,openfold3,11.1899,60,48,0.2457,0.34,68.2504
TBP__zif268_site,TBP,specific,zif268_site,False,openfold3,13.617,179,48,0.2506,0.3024,53.4293
TBP__lambda_OL1,TBP,specific,lambda_OL1,False,openfold3,15.8694,179,48,0.2045,0.2586,53.7654
TBP__ebox,TBP,specific,ebox,False,openfold3,14.4508,179,48,0.234,0.2876,54.7887
TBP__hd_taatta,TBP,specific,hd_taatta,False,openfold3,12.7865,179,48,0.2055,0.2618,52.8631
TBP__tata,TBP,specific,tata,True,openfold3,14.5493,179,48,0.1965,0.256,54.1085
TBP__prnp,TBP,specific,prnp,False,openfold3,15.4104,179,48,0.1962,0.2491,52.6112
TBP__scramble,TBP,specific,scramble,False,openfold3,14.176,179,48,0.2304,0.2825,54.2335
TBP__polygc,TBP,specific,polygc,False,openfold3,13.4689,179,48,0.2285,0.2822,53.6994
