fold_id,protein,klass,dna_id,is_on_target,oracle,min_pae,n_protein_tokens,n_dna_tokens,iptm,ptm,plddt
Zif268__zif268_site,Zif268,specific,zif268_site,True,rf3,1.07,90,48,,,
Zif268__lambda_OL1,Zif268,specific,lambda_OL1,False,rf3,3.72,90,48,0.635,0.777,0.8386
Zif268__ebox,Zif268,specific,ebox,False,rf3,4.45,90,48,0.5995,0.7676,0.8346
Zif268__hd_taatta,Zif268,specific,hd_taatta,False,rf3,8.88,90,48,0.436,0.6935,0.8284
Zif268__tata,Zif268,specific,tata,False,rf3,9.62,90,48,0.4327,0.6985,0.83
Zif268__prnp,Zif268,specific,prnp,False,rf3,6.0,90,48,0.5251,0.7506,0.8324
Zif268__scramble,Zif268,specific,scramble,False,rf3,6.83,90,48,0.4838,0.7206,0.8301
Zif268__polygc,Zif268,specific,polygc,False,rf3,2.67,90,48,0.6984,0.791,0.8403
LambdaRep__zif268_site,LambdaRep,specific,zif268_site,False,rf3,8.71,184,48,0.6889,0.7637,0.8319
LambdaRep__lambda_OL1,LambdaRep,specific,lambda_OL1,True,rf3,3.87,184,48,0.7889,0.8351,0.8489
LambdaRep__ebox,LambdaRep,specific,ebox,False,rf3,5.8,184,48,0.7464,0.8059,0.84
LambdaRep__hd_taatta,LambdaRep,specific,hd_taatta,False,rf3,8.53,184,48,0.6898,0.7673,0.8333
LambdaRep__tata,LambdaRep,specific,tata,False,rf3,8.24,184,48,0.6941,0.7689,0.8368
LambdaRep__prnp,LambdaRep,specific,prnp,False,rf3,9.88,184,48,0.6529,0.7329,0.8277
LambdaRep__scramble,LambdaRep,specific,scramble,False,rf3,8.48,184,48,0.6152,0.6958,0.8266
LambdaRep__polygc,LambdaRep,specific,polygc,False,rf3,8.6,184,48,0.702,0.7749,0.8262
MAX_bHLH__zif268_site,MAX_bHLH,specific,zif268_site,False,rf3,3.98,172,48,0.7911,0.8332,0.8396
MAX_bHLH__lambda_OL1,MAX_bHLH,specific,lambda_OL1,False,rf3,5.36,172,48,0.7776,0.8246,0.8334
MAX_bHLH__ebox,MAX_bHLH,specific,ebox,True,rf3,2.15,172,48,0.8443,0.8674,0.8469
MAX_bHLH__hd_taatta,MAX_bHLH,specific,hd_taatta,False,rf3,5.31,172,48,0.7658,0.8202,0.8327
MAX_bHLH__tata,MAX_bHLH,specific,tata,False,rf3,4.65,172,48,0.7719,0.8243,0.8365
MAX_bHLH__prnp,MAX_bHLH,specific,prnp,False,rf3,5.24,172,48,0.7608,0.8159,0.8363
MAX_bHLH__scramble,MAX_bHLH,specific,scramble,False,rf3,4.86,172,48,0.7662,0.8195,0.8381
MAX_bHLH__polygc,MAX_bHLH,specific,polygc,False,rf3,6.27,172,48,0.7518,0.81,0.8312
Engrailed__zif268_site,Engrailed,specific,zif268_site,False,rf3,14.06,60,48,0.3962,0.6237,0.8472
Engrailed__lambda_OL1,Engrailed,specific,lambda_OL1,False,rf3,4.14,60,48,0.5812,0.7316,0.8558
Engrailed__ebox,Engrailed,specific,ebox,False,rf3,7.96,60,48,0.5039,0.6825,0.8487
Engrailed__hd_taatta,Engrailed,specific,hd_taatta,True,rf3,3.88,60,48,0.6119,0.7561,0.854
Engrailed__tata,Engrailed,specific,tata,False,rf3,4.76,60,48,0.5676,0.7193,0.8557
Engrailed__prnp,Engrailed,specific,prnp,False,rf3,5.88,60,48,0.5139,0.6947,0.8504
Engrailed__scramble,Engrailed,specific,scramble,False,rf3,6.33,60,48,0.5253,0.6854,0.8502
Engrailed__polygc,Engrailed,specific,polygc,False,rf3,12.8,60,48,0.3869,0.6162,0.8421
TBP__zif268_site,TBP,specific,zif268_site,False,rf3,15.14,179,48,0.2793,0.3334,0.766
TBP__lambda_OL1,TBP,specific,lambda_OL1,False,rf3,14.32,179,48,0.2895,0.3436,0.7752
TBP__ebox,TBP,specific,ebox,False,rf3,15.38,179,48,0.2827,0.336,0.7622
TBP__hd_taatta,TBP,specific,hd_taatta,False,rf3,15.84,179,48,0.2685,0.3185,0.7666
TBP__tata,TBP,specific,tata,True,rf3,15.73,179,48,0.2717,0.3213,0.7682
TBP__prnp,TBP,specific,prnp,False,rf3,15.41,179,48,,,
TBP__scramble,TBP,specific,scramble,False,rf3,13.57,179,48,0.299,0.3475,0.7666
TBP__polygc,TBP,specific,polygc,False,rf3,14.44,179,48,0.2901,0.3391,0.7653
Sac7d__zif268_site,Sac7d,nonspecific_binder,zif268_site,False,rf3,8.38,66,48,0.3864,0.6726,0.8376
Sac7d__lambda_OL1,Sac7d,nonspecific_binder,lambda_OL1,False,rf3,9.08,66,48,0.4067,0.6766,0.844
