fold_id,protein,klass,dna_id,is_on_target,oracle,min_pae,strand,position,motif_start,motif_end,motif_len,in_motif,baseline_frac
Zif268__zif268_site,Zif268,specific,zif268_site,True,protenix,0.52,sense,8,7,16,10,True,0.4167
Zif268__lambda_OL1,Zif268,specific,lambda_OL1,False,protenix,1.29,antisense,11,4,20,17,True,0.7083
Zif268__ebox,Zif268,specific,ebox,False,protenix,3.59,sense,13,9,14,6,True,0.25
Zif268__hd_taatta,Zif268,specific,hd_taatta,False,protenix,2.15,sense,3,9,14,6,False,0.25
Zif268__tata,Zif268,specific,tata,False,protenix,2.27,sense,2,8,14,7,False,0.2917
Zif268__prnp,Zif268,specific,prnp,False,protenix,1.24,sense,9,6,17,12,True,0.5
Zif268__scramble,Zif268,specific,scramble,False,protenix,7.15,sense,14,6,17,12,True,0.5
Zif268__polygc,Zif268,specific,polygc,False,protenix,3.11,sense,15,6,17,12,True,0.5
LambdaRep__zif268_site,LambdaRep,specific,zif268_site,False,protenix,7.83,sense,17,7,16,10,False,0.4167
LambdaRep__lambda_OL1,LambdaRep,specific,lambda_OL1,True,protenix,7.9,antisense,15,4,20,17,True,0.7083
LambdaRep__ebox,LambdaRep,specific,ebox,False,protenix,4.5,sense,12,9,14,6,True,0.25
LambdaRep__hd_taatta,LambdaRep,specific,hd_taatta,False,protenix,9.06,sense,11,9,14,6,True,0.25
LambdaRep__tata,LambdaRep,specific,tata,False,protenix,9.87,antisense,8,9,15,7,False,0.2917
LambdaRep__prnp,LambdaRep,specific,prnp,False,protenix,6.99,antisense,9,6,17,12,True,0.5
LambdaRep__scramble,LambdaRep,specific,scramble,False,protenix,8.39,antisense,11,6,17,12,True,0.5
LambdaRep__polygc,LambdaRep,specific,polygc,False,protenix,9.25,antisense,10,6,17,12,True,0.5
MAX_bHLH__zif268_site,MAX_bHLH,specific,zif268_site,False,protenix,0.73,sense,9,7,16,10,True,0.4167
MAX_bHLH__lambda_OL1,MAX_bHLH,specific,lambda_OL1,False,protenix,0.94,antisense,12,4,20,17,True,0.7083
MAX_bHLH__ebox,MAX_bHLH,specific,ebox,True,protenix,0.77,sense,14,9,14,6,True,0.25
MAX_bHLH__hd_taatta,MAX_bHLH,specific,hd_taatta,False,protenix,3.31,sense,4,9,14,6,False,0.25
MAX_bHLH__tata,MAX_bHLH,specific,tata,False,protenix,3.81,antisense,14,9,15,7,True,0.2917
MAX_bHLH__prnp,MAX_bHLH,specific,prnp,False,protenix,1.0,sense,7,6,17,12,True,0.5
MAX_bHLH__scramble,MAX_bHLH,specific,scramble,False,protenix,2.14,antisense,10,6,17,12,True,0.5
MAX_bHLH__polygc,MAX_bHLH,specific,polygc,False,protenix,0.71,sense,12,6,17,12,True,0.5
Engrailed__zif268_site,Engrailed,specific,zif268_site,False,protenix,1.22,antisense,6,7,16,10,False,0.4167
Engrailed__lambda_OL1,Engrailed,specific,lambda_OL1,False,protenix,2.06,sense,13,3,19,17,True,0.7083
Engrailed__ebox,Engrailed,specific,ebox,False,protenix,1.02,antisense,14,9,14,6,True,0.25
Engrailed__hd_taatta,Engrailed,specific,hd_taatta,True,protenix,0.82,antisense,14,9,14,6,True,0.25
Engrailed__tata,Engrailed,specific,tata,False,protenix,0.96,antisense,15,9,15,7,True,0.2917
Engrailed__prnp,Engrailed,specific,prnp,False,protenix,1.75,sense,10,6,17,12,True,0.5
Engrailed__scramble,Engrailed,specific,scramble,False,protenix,2.03,antisense,12,6,17,12,True,0.5
Engrailed__polygc,Engrailed,specific,polygc,False,protenix,4.45,sense,18,6,17,12,False,0.5
TBP__zif268_site,TBP,specific,zif268_site,False,protenix,9.04,sense,12,7,16,10,True,0.4167
TBP__lambda_OL1,TBP,specific,lambda_OL1,False,protenix,12.82,antisense,13,4,20,17,True,0.7083
TBP__ebox,TBP,specific,ebox,False,protenix,9.11,sense,13,9,14,6,True,0.25
TBP__hd_taatta,TBP,specific,hd_taatta,False,protenix,9.54,sense,3,9,14,6,False,0.25
TBP__tata,TBP,specific,tata,True,protenix,8.84,antisense,13,9,15,7,True,0.2917
TBP__prnp,TBP,specific,prnp,False,protenix,8.75,sense,13,6,17,12,True,0.5
TBP__scramble,TBP,specific,scramble,False,protenix,11.56,antisense,14,6,17,12,True,0.5
TBP__polygc,TBP,specific,polygc,False,protenix,9.08,sense,13,6,17,12,True,0.5
Sac7d__zif268_site,Sac7d,nonspecific_binder,zif268_site,False,protenix,1.94,sense,9,7,16,10,True,0.4167
Sac7d__lambda_OL1,Sac7d,nonspecific_binder,lambda_OL1,False,protenix,5.62,sense,11,3,19,17,True,0.7083
Sac7d__ebox,Sac7d,nonspecific_binder,ebox,False,protenix,0.61,antisense,12,9,14,6,True,0.25
Sac7d__hd_taatta,Sac7d,nonspecific_binder,hd_taatta,False,protenix,0.86,sense,12,9,14,6,True,0.25
Sac7d__tata,Sac7d,nonspecific_binder,tata,False,protenix,1.24,sense,11,8,14,7,True,0.2917
Sac7d__prnp,Sac7d,nonspecific_binder,prnp,False,protenix,1.73,antisense,17,6,17,12,True,0.5
Sac7d__scramble,Sac7d,nonspecific_binder,scramble,False,protenix,1.43,sense,9,6,17,12,True,0.5
Sac7d__polygc,Sac7d,nonspecific_binder,polygc,False,protenix,4.17,sense,9,6,17,12,True,0.5
Ubiquitin__zif268_site,Ubiquitin,nonbinder,zif268_site,False,protenix,6.11,sense,7,7,16,10,True,0.4167
Ubiquitin__lambda_OL1,Ubiquitin,nonbinder,lambda_OL1,False,protenix,5.78,antisense,11,4,20,17,True,0.7083
Ubiquitin__ebox,Ubiquitin,nonbinder,ebox,False,protenix,6.17,antisense,10,9,14,6,True,0.25
Ubiquitin__hd_taatta,Ubiquitin,nonbinder,hd_taatta,False,protenix,7.01,sense,16,9,14,6,False,0.25
Ubiquitin__tata,Ubiquitin,nonbinder,tata,False,protenix,7.85,antisense,8,9,15,7,False,0.2917
Ubiquitin__prnp,Ubiquitin,nonbinder,prnp,False,protenix,7.46,antisense,5,6,17,12,False,0.5
Ubiquitin__scramble,Ubiquitin,nonbinder,scramble,False,protenix,7.13,sense,12,6,17,12,True,0.5
Ubiquitin__polygc,Ubiquitin,nonbinder,polygc,False,protenix,6.41,antisense,8,6,17,12,True,0.5
GFP__zif268_site,GFP,nonbinder,zif268_site,False,protenix,14.09,sense,11,7,16,10,True,0.4167
GFP__lambda_OL1,GFP,nonbinder,lambda_OL1,False,protenix,11.17,antisense,11,4,20,17,True,0.7083
GFP__ebox,GFP,nonbinder,ebox,False,protenix,12.73,sense,15,9,14,6,False,0.25
GFP__hd_taatta,GFP,nonbinder,hd_taatta,False,protenix,9.99,sense,15,9,14,6,False,0.25
GFP__tata,GFP,nonbinder,tata,False,protenix,9.75,sense,16,8,14,7,False,0.2917
GFP__prnp,GFP,nonbinder,prnp,False,protenix,10.34,antisense,8,6,17,12,True,0.5
GFP__scramble,GFP,nonbinder,scramble,False,protenix,13.86,sense,10,6,17,12,True,0.5
GFP__polygc,GFP,nonbinder,polygc,False,protenix,10.94,antisense,16,6,17,12,True,0.5
