fold_id,protein,klass,dna_id,is_on_target,oracle,min_pae,strand,position,motif_start,motif_end,motif_len,in_motif,baseline_frac
Zif268__zif268_site,Zif268,specific,zif268_site,True,esmfold2,0.7051,sense,8,7,16,10,True,0.4167
LambdaRep__zif268_site,LambdaRep,specific,zif268_site,False,esmfold2,2.9883,sense,12,7,16,10,True,0.4167
MAX_bHLH__zif268_site,MAX_bHLH,specific,zif268_site,False,esmfold2,10.8281,antisense,13,7,16,10,True,0.4167
Engrailed__zif268_site,Engrailed,specific,zif268_site,False,esmfold2,4.8125,sense,13,7,16,10,True,0.4167
TBP__zif268_site,TBP,specific,zif268_site,False,esmfold2,1.6416,sense,7,7,16,10,True,0.4167
Zif268__lambda_OL1,Zif268,specific,lambda_OL1,False,esmfold2,3.625,sense,13,3,19,17,True,0.7083
LambdaRep__lambda_OL1,LambdaRep,specific,lambda_OL1,True,esmfold2,1.3848,sense,14,3,19,17,True,0.7083
MAX_bHLH__lambda_OL1,MAX_bHLH,specific,lambda_OL1,False,esmfold2,6.707,antisense,10,4,20,17,True,0.7083
Engrailed__lambda_OL1,Engrailed,specific,lambda_OL1,False,esmfold2,3.1816,antisense,14,4,20,17,True,0.7083
TBP__lambda_OL1,TBP,specific,lambda_OL1,False,esmfold2,1.8223,antisense,18,4,20,17,True,0.7083
Zif268__ebox,Zif268,specific,ebox,False,esmfold2,5.6094,antisense,12,9,14,6,True,0.25
LambdaRep__ebox,LambdaRep,specific,ebox,False,esmfold2,3.127,sense,16,9,14,6,False,0.25
MAX_bHLH__ebox,MAX_bHLH,specific,ebox,True,esmfold2,5.0859,antisense,10,9,14,6,True,0.25
Engrailed__ebox,Engrailed,specific,ebox,False,esmfold2,6.2578,antisense,13,9,14,6,True,0.25
TBP__ebox,TBP,specific,ebox,False,esmfold2,1.874,sense,12,9,14,6,True,0.25
Zif268__hd_taatta,Zif268,specific,hd_taatta,False,esmfold2,9.8281,antisense,16,9,14,6,False,0.25
LambdaRep__hd_taatta,LambdaRep,specific,hd_taatta,False,esmfold2,5.8359,sense,11,9,14,6,True,0.25
MAX_bHLH__hd_taatta,MAX_bHLH,specific,hd_taatta,False,esmfold2,15.2812,sense,12,9,14,6,True,0.25
Engrailed__hd_taatta,Engrailed,specific,hd_taatta,True,esmfold2,2.377,antisense,13,9,14,6,True,0.25
TBP__hd_taatta,TBP,specific,hd_taatta,False,esmfold2,2.4434,antisense,12,9,14,6,True,0.25
Zif268__tata,Zif268,specific,tata,False,esmfold2,11.0781,antisense,15,9,15,7,True,0.2917
LambdaRep__tata,LambdaRep,specific,tata,False,esmfold2,4.8086,sense,13,8,14,7,True,0.2917
MAX_bHLH__tata,MAX_bHLH,specific,tata,False,esmfold2,15.875,sense,16,8,14,7,False,0.2917
Engrailed__tata,Engrailed,specific,tata,False,esmfold2,2.9961,antisense,14,9,15,7,True,0.2917
TBP__tata,TBP,specific,tata,True,esmfold2,1.1309,antisense,11,9,15,7,True,0.2917
