fold_id,protein,klass,dna_id,is_on_target,oracle,min_pae,n_protein_tokens,n_dna_tokens,iptm,ptm,plddt
Zif268__zif268_site,Zif268,specific,zif268_site,True,protenix,0.52,90,48,,,
Zif268__lambda_OL1,Zif268,specific,lambda_OL1,False,protenix,1.29,90,48,0.7506,0.806,88.5393
Zif268__ebox,Zif268,specific,ebox,False,protenix,3.59,90,48,0.6284,0.7119,81.0336
Zif268__hd_taatta,Zif268,specific,hd_taatta,False,protenix,2.15,90,48,0.5695,0.617,79.2276
Zif268__tata,Zif268,specific,tata,False,protenix,2.27,90,48,0.5588,0.6047,79.4788
Zif268__prnp,Zif268,specific,prnp,False,protenix,1.24,90,48,0.7506,0.8014,88.1324
Zif268__scramble,Zif268,specific,scramble,False,protenix,7.15,90,48,0.4626,0.5173,69.9106
Zif268__polygc,Zif268,specific,polygc,False,protenix,3.11,90,48,0.5198,0.563,71.4387
LambdaRep__zif268_site,LambdaRep,specific,zif268_site,False,protenix,7.83,184,48,0.3848,0.4711,58.2788
LambdaRep__lambda_OL1,LambdaRep,specific,lambda_OL1,True,protenix,7.9,184,48,0.3772,0.4617,58.0041
LambdaRep__ebox,LambdaRep,specific,ebox,False,protenix,4.5,184,48,0.4374,0.5044,61.689
LambdaRep__hd_taatta,LambdaRep,specific,hd_taatta,False,protenix,9.06,184,48,0.3556,0.4417,56.6535
LambdaRep__tata,LambdaRep,specific,tata,False,protenix,9.87,184,48,0.3265,0.4259,56.3327
LambdaRep__prnp,LambdaRep,specific,prnp,False,protenix,6.99,184,48,0.4075,0.4779,58.5041
LambdaRep__scramble,LambdaRep,specific,scramble,False,protenix,8.39,184,48,0.3477,0.445,56.5047
LambdaRep__polygc,LambdaRep,specific,polygc,False,protenix,9.25,184,48,0.3641,0.4617,56.9726
MAX_bHLH__zif268_site,MAX_bHLH,specific,zif268_site,False,protenix,0.73,172,48,0.8967,0.906,93.8907
MAX_bHLH__lambda_OL1,MAX_bHLH,specific,lambda_OL1,False,protenix,0.94,172,48,0.88,0.8976,92.7544
MAX_bHLH__ebox,MAX_bHLH,specific,ebox,True,protenix,0.77,172,48,0.8919,0.9042,93.6775
MAX_bHLH__hd_taatta,MAX_bHLH,specific,hd_taatta,False,protenix,3.31,172,48,0.8059,0.8501,86.9569
MAX_bHLH__tata,MAX_bHLH,specific,tata,False,protenix,3.81,172,48,0.7998,0.8463,86.3752
MAX_bHLH__prnp,MAX_bHLH,specific,prnp,False,protenix,1.0,172,48,0.8683,0.8895,92.3919
MAX_bHLH__scramble,MAX_bHLH,specific,scramble,False,protenix,2.14,172,48,0.839,0.871,88.9037
MAX_bHLH__polygc,MAX_bHLH,specific,polygc,False,protenix,0.71,172,48,0.8945,0.9041,93.6044
Engrailed__zif268_site,Engrailed,specific,zif268_site,False,protenix,1.22,60,48,0.754,0.8102,92.1089
Engrailed__lambda_OL1,Engrailed,specific,lambda_OL1,False,protenix,2.06,60,48,0.6984,0.7853,90.9359
Engrailed__ebox,Engrailed,specific,ebox,False,protenix,1.02,60,48,0.7969,0.8318,93.5869
Engrailed__hd_taatta,Engrailed,specific,hd_taatta,True,protenix,0.82,60,48,0.8332,0.8482,94.3636
Engrailed__tata,Engrailed,specific,tata,False,protenix,0.96,60,48,0.8039,0.8281,93.5311
Engrailed__prnp,Engrailed,specific,prnp,False,protenix,1.75,60,48,0.6869,0.796,90.6429
Engrailed__scramble,Engrailed,specific,scramble,False,protenix,2.03,60,48,0.6979,0.7708,89.2886
