fold_id,protein,klass,dna_id,is_on_target,oracle,min_pae,n_protein_tokens,n_dna_tokens,iptm,ptm,plddt,token_map
Zif268__zif268_site,Zif268,specific,zif268_site,True,esmfold2,0.7051,90,48,0.8445,0.8751,,exact
LambdaRep__zif268_site,LambdaRep,specific,zif268_site,False,esmfold2,2.9883,184,48,0.7595,0.8181,,exact
MAX_bHLH__zif268_site,MAX_bHLH,specific,zif268_site,False,esmfold2,10.8281,172,48,0.6192,0.7016,,exact
Engrailed__zif268_site,Engrailed,specific,zif268_site,False,esmfold2,4.8125,60,48,0.5366,0.6946,,exact
TBP__zif268_site,TBP,specific,zif268_site,False,esmfold2,1.6416,179,48,0.737,0.8831,,exact
Zif268__lambda_OL1,Zif268,specific,lambda_OL1,False,esmfold2,3.625,90,48,0.5128,0.6184,,exact
LambdaRep__lambda_OL1,LambdaRep,specific,lambda_OL1,True,esmfold2,1.3848,184,48,0.8474,0.8833,,exact
MAX_bHLH__lambda_OL1,MAX_bHLH,specific,lambda_OL1,False,esmfold2,6.707,172,48,0.6699,0.728,,exact
Engrailed__lambda_OL1,Engrailed,specific,lambda_OL1,False,esmfold2,3.1816,60,48,0.6265,0.7572,,exact
TBP__lambda_OL1,TBP,specific,lambda_OL1,False,esmfold2,1.8223,179,48,0.6986,0.8639,,exact
Zif268__ebox,Zif268,specific,ebox,False,esmfold2,5.6094,90,48,0.3298,0.5225,,exact
LambdaRep__ebox,LambdaRep,specific,ebox,False,esmfold2,3.127,184,48,0.7425,0.805,,exact
MAX_bHLH__ebox,MAX_bHLH,specific,ebox,True,esmfold2,5.0859,172,48,0.6964,0.747,,exact
Engrailed__ebox,Engrailed,specific,ebox,False,esmfold2,6.2578,60,48,0.4928,0.6394,,exact
TBP__ebox,TBP,specific,ebox,False,esmfold2,1.874,179,48,0.7341,0.8841,,exact
Zif268__hd_taatta,Zif268,specific,hd_taatta,False,esmfold2,9.8281,90,48,0.2133,0.2919,,exact
LambdaRep__hd_taatta,LambdaRep,specific,hd_taatta,False,esmfold2,5.8359,184,48,0.569,0.6896,,exact
MAX_bHLH__hd_taatta,MAX_bHLH,specific,hd_taatta,False,esmfold2,15.2812,172,48,0.5586,0.6665,,exact
Engrailed__hd_taatta,Engrailed,specific,hd_taatta,True,esmfold2,2.377,60,48,0.6313,0.7287,,exact
TBP__hd_taatta,TBP,specific,hd_taatta,False,esmfold2,2.4434,179,48,0.6665,0.8749,,exact
Zif268__tata,Zif268,specific,tata,False,esmfold2,11.0781,90,48,0.2264,0.3148,,exact
LambdaRep__tata,LambdaRep,specific,tata,False,esmfold2,4.8086,184,48,0.6568,0.7487,,exact
MAX_bHLH__tata,MAX_bHLH,specific,tata,False,esmfold2,15.875,172,48,0.5676,0.6699,,exact
Engrailed__tata,Engrailed,specific,tata,False,esmfold2,2.9961,60,48,0.6124,0.7072,,exact
TBP__tata,TBP,specific,tata,True,esmfold2,1.1309,179,48,0.819,0.9074,,exact
