fold_id,protein,klass,dna_id,is_on_target,oracle,min_pae,strand,position,motif_start,motif_end,motif_len,in_motif,baseline_frac
Zif268__zif268_site,Zif268,specific,zif268_site,True,rf3,1.05,sense,10,7,16,10,True,0.4167
LambdaRep__zif268_site,LambdaRep,specific,zif268_site,False,rf3,10.97,antisense,11,7,16,10,True,0.4167
LambdaRep__lambda_OL1,LambdaRep,specific,lambda_OL1,True,rf3,2.94,antisense,13,4,20,17,True,0.7083
LambdaRep__ebox,LambdaRep,specific,ebox,False,rf3,6.7,antisense,10,9,14,6,True,0.25
LambdaRep__hd_taatta,LambdaRep,specific,hd_taatta,False,rf3,9.56,sense,11,9,14,6,True,0.25
LambdaRep__tata,LambdaRep,specific,tata,False,rf3,6.37,sense,7,8,14,7,False,0.2917
LambdaRep__prnp,LambdaRep,specific,prnp,False,rf3,7.78,antisense,11,6,17,12,True,0.5
LambdaRep__scramble,LambdaRep,specific,scramble,False,rf3,8.73,sense,12,6,17,12,True,0.5
LambdaRep__polygc,LambdaRep,specific,polygc,False,rf3,10.45,antisense,13,6,17,12,True,0.5
Engrailed__zif268_site,Engrailed,specific,zif268_site,False,rf3,12.37,sense,20,7,16,10,False,0.4167
Engrailed__lambda_OL1,Engrailed,specific,lambda_OL1,False,rf3,4.71,sense,4,3,19,17,True,0.7083
Engrailed__ebox,Engrailed,specific,ebox,False,rf3,9.18,antisense,16,9,14,6,False,0.25
Engrailed__hd_taatta,Engrailed,specific,hd_taatta,True,rf3,3.99,sense,10,9,14,6,True,0.25
Engrailed__tata,Engrailed,specific,tata,False,rf3,5.11,antisense,15,9,15,7,True,0.2917
Engrailed__prnp,Engrailed,specific,prnp,False,rf3,7.12,antisense,19,6,17,12,False,0.5
Engrailed__scramble,Engrailed,specific,scramble,False,rf3,6.1,antisense,19,6,17,12,False,0.5
Engrailed__polygc,Engrailed,specific,polygc,False,rf3,12.53,antisense,3,6,17,12,False,0.5
